,NOMBRE,EQUIPO,T,DAP,ASI,RE,RF,G,GDDA,GFDA,GCPI,GCPD,GDP,CG,GBP,GPP
,ABDE EZZALZOULI,REAL BETIS,31,13,0,32,26,1,1,0,0.00,0.03,0,0.00,0,0
,ABDE REBBACH,DEPORTIVO ALAVÉS,3,1,0,3,9,0,0,0,0.00,0.00,0,0.00,0,0
,ABDEL ABQAR,DEPORTIVO ALAVÉS,3,1,1,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,ABDOULAYE KEITA,GETAFE CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ABDUL MUMIN,RAYO VALLECANO,4,1,1,1,2,1,1,0,0.25,0.00,0,0.00,0,0
,ABDÓN PRATS,RCD MALLORCA,8,5,0,0,0,2,2,0,0.13,0.00,1,0.13,0,0
,ABEL BRETONES,CA OSASUNA,4,3,0,5,6,2,1,1,0.50,0.00,0,0.00,0,0
,ABEL RUIZ,GIRONA FC,10,5,0,5,8,2,2,0,0.00,0.20,1,0.00,0,0
,ABOUBACAR BASSINGA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADAMA BOIRO,ATHLETIC CLUB,0,0,0,3,4,0,0,0,0.00,0.00,0,0.00,0,0
,ADNAN JANUZAJ,UD LAS PALMAS,3,1,1,4,10,0,0,0,0.00,0.00,0,0.00,0,0
,ADRI EMBARBA,RAYO VALLECANO,11,3,1,8,11,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÀ ALTI,CD LEGANÉS,2,0,0,6,6,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÀ PEDROSA,SEVILLA FC,4,1,1,7,9,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,2,1,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,AIHEN MUÑOZ,REAL SOCIEDAD,0,0,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,AIMAR OROZ,CA OSASUNA,12,6,0,15,11,1,1,0,0.08,0.00,0,0.00,0,0
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,9,3,0,8,10,1,1,0,0.00,0.00,0,0.11,0,0
,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO GARCÍA,RAYO VALLECANO,14,3,0,4,5,1,1,0,0.00,0.07,0,0.00,0,0
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO RODRÍGUEZ,GETAFE CF,6,3,0,4,4,1,1,0,0.17,0.00,0,0.00,0,0
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,7,2,2,2,8,1,0,1,0.00,0.14,0,0.00,1,0
,ÁNGEL CORREA,ATLÉTICO DE MADRID,10,5,1,10,8,2,2,0,0.00,0.20,0,0.00,0,0
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÉDER GABRIEL MILITÃO,REAL MADRID,7,3,1,5,3,1,1,0,0.00,0.14,0,0.00,0,0
,ÍÑIGO LEKUE,ATHLETIC CLUB,0,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,0,1,6,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,0,4,1,6,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR MINGUEZA,RC CELTA,10,3,5,12,13,2,1,1,0.00,0.20,0,0.00,1,0
,ÓSCAR RODRÍGUEZ,CD LEGANÉS,8,3,2,6,6,1,1,0,0.00,0.00,0,0.13,0,0
,ÓSCAR TREJO,RAYO VALLECANO,2,0,0,4,6,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR VALENTÍN,RAYO VALLECANO,2,1,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,ØRJAN NYLAND,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WILLY KAMBWALA,VILLARREAL CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WOJCIECH SZCZESNY,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,YANGEL HERRERA,GIRONA FC,13,5,1,7,3,2,2,0,0.00,0.00,0,0.15,0,0
,YAREK GASIOROWSKI,VALENCIA CF,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS SANTIAGO PÉREZ,GETAFE CF,0,0,0,0,4,0,0,0,0.00,0.00,0,0.00,0,0
,YERAY ÁLVAREZ,ATHLETIC CLUB,3,1,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,YEREMY PINO,VILLARREAL CF,4,0,3,8,5,0,0,0,0.00,0.00,0,0.00,0,0
,YOUSSOUF SABALY,REAL BETIS,2,0,0,7,7,0,0,0,0.00,0.00,0,0.00,0,0
,YURI BERCHICHE,ATHLETIC CLUB,5,3,0,4,3,0,0,0,0.00,0.00,0,0.00,0,0
,YVAN NEYOU,CD LEGANÉS,4,1,1,9,8,1,1,0,0.00,0.25,0,0.00,0,0
,YÁSER ASPRILLA,GIRONA FC,5,1,0,9,9,1,0,1,0.20,0.00,0,0.00,0,0
,ÁLEX BAENA,VILLARREAL CF,17,7,5,7,9,3,3,0,0.12,0.06,0,0.00,0,0
,ÁLEX GIL,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX MUÑOZ,UD LAS PALMAS,7,5,0,1,5,3,3,0,0.14,0.14,0,0.14,0,0
,ÁLEX REMIRO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX SOLA,GETAFE CF,8,2,1,19,31,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX SUÁREZ,UD LAS PALMAS,1,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,1
,ÁLEX VALLE,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,4,0,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI MARRERO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI NÚÑEZ,ATHLETIC CLUB,1,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI SIMÓN,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,URKO GONZÁLEZ,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTIN ROSIER,CD LEGANÉS,3,1,1,8,5,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTÍN BARCO,SEVILLA FC,5,0,0,3,9,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VALERY FERNÁNDEZ,RCD MALLORCA,3,3,0,0,4,2,2,0,0.33,0.33,0,0.00,0,0
,VEDAT MURIQI,RCD MALLORCA,25,10,1,3,8,3,3,0,0.04,0.00,0,0.08,0,0
,VICENTE GUAITA,RC CELTA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VIKTOR TSYHANKOV,GIRONA FC,7,3,1,5,3,1,1,0,0.14,0.00,0,0.00,0,0
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,26,11,5,38,46,8,7,1,0.08,0.23,2,0.00,0,0
,VITI ROZADA,UD LAS PALMAS,0,0,1,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,VITOR HUGO ROQUE FERREIRA,REAL BETIS,22,15,0,6,11,3,3,0,0.00,0.14,0,0.00,0,0
,VÍCTOR MESEGUER,REAL VALLADOLID CF,2,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,VÍCTOR PUIG,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,5,2,1,3,10,1,1,0,0.20,0.00,0,0.00,0,0
,WARREN MADRIGAL,VALENCIA CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WILLIAM SILVA DE CARVALHO,REAL BETIS,2,1,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,WILLIOT SWEDBERG,RC CELTA,13,7,3,3,9,2,1,1,0.00,0.15,0,0.00,0,0
,SÉBASTIEN HALLER,CD LEGANÉS,3,1,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,TADEO ALLENDE,RC CELTA,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,TAKEFUSA KUBO,REAL SOCIEDAD,13,7,0,29,29,3,3,0,0.23,0.00,0,0.00,0,0
,TAKUMA ASANO,RCD MALLORCA,8,3,0,3,5,0,0,0,0.00,0.00,0,0.00,0,0
,TANGUY NIANZOU,SEVILLA FC,2,0,0,3,0,0,0,0,0.00,0.00,0,0.00,0,1
,TASOS DOUVIKAS,RC CELTA,14,8,0,4,7,3,3,0,0.00,0.14,0,0.07,0,0
,THIBAUT COURTOIS,REAL MADRID,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,1
,THIERNO BARRY,VILLARREAL CF,29,10,2,3,10,4,4,0,0.03,0.00,0,0.10,0,0
,THIERRY RENDALL CORREIA,VALENCIA CF,7,3,0,8,12,0,0,0,0.00,0.00,0,0.00,0,0
,THOMAS LEMAR,ATLÉTICO DE MADRID,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,TOMÁS CONECHNY,DEPORTIVO ALAVÉS,11,7,0,0,3,1,1,0,0.00,0.00,0,0.09,0,0
,TONI FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,0,0,0,3,0,0,0,0.00,0.00,0,0.00,0,0
,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,18,9,0,3,1,3,1,2,0.06,0.11,0,0.00,0,0
,LAUREANO ANTONIO VILLA SUÁREZ,SD EIBAR,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,UMAR SADIQ,REAL SOCIEDAD,2,0,0,5,4,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI EGILUZ,CD MIRANDÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI GARCÍA,CA OSASUNA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI GÓMEZ,ATHLETIC CLUB,4,0,1,7,7,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI LÓPEZ,RAYO VALLECANO,6,5,0,4,0,2,1,1,0.00,0.33,0,0.00,0,0
,SERGI DARDER,RCD MALLORCA,7,4,1,10,12,0,0,0,0.00,0.00,0,0.00,0,0
,SERGI DOMÍNGUEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SERGI GUARDIOLA,RAYO VALLECANO,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,1,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SERGIO CAMELLO,RAYO VALLECANO,15,6,0,7,6,2,2,0,0.13,0.00,0,0.00,0,0
,SERGIO CARREIRA,RC CELTA,0,0,0,2,3,0,0,0,0.00,0.00,0,0.00,0,0
,SERGIO GONZÁLEZ,CD LEGANÉS,4,2,0,2,0,1,1,0,0.00,0.00,0,0.25,0,1
,SERGIO GÓMEZ,REAL SOCIEDAD,6,5,3,10,11,0,0,0,0.00,0.00,0,0.00,0,0
,SERGIO HERRERA,CA OSASUNA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SERGIO MESTRE,REAL MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SEYDOUBA CISSÉ,CD LEGANÉS,3,0,0,13,6,0,0,0,0.00,0.00,0,0.00,0,0
,SHERALDO BECKER,REAL SOCIEDAD,13,8,0,3,1,1,1,0,0.00,0.08,0,0.00,0,0
,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SILVI CLUA,GIRONA FC,1,1,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,STANIS IDUMBO MUZAMBO,SEVILLA FC,1,1,0,4,2,1,1,0,0.00,1.00,0,0.00,0,0
,STANKO JURIC,REAL VALLADOLID CF,3,1,0,4,0,0,0,0,0.00,0.00,0,0.00,0,0
,STIPE BIUK,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,6,2,1,6,9,0,0,0,0.00,0.00,0,0.00,0,0
,STOLE DIMITRIEVSKI,VALENCIA CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,2,1,0,7,7,0,0,0,0.00,0.00,0,0.00,0,0
,RODRIGO RIQUELME,ATLÉTICO DE MADRID,7,4,0,4,12,0,0,0,0.00,0.00,0,0.00,0,0
,RODRYGO SILVA DE GOES,REAL MADRID,12,8,1,19,17,3,3,0,0.00,0.25,0,0.00,0,0
,ROMAIN PERRAUD,REAL BETIS,6,2,0,7,6,0,0,0,0.00,0.00,0,0.00,0,0
,RUBÉN GARCÍA,CA OSASUNA,5,3,2,3,8,1,1,0,0.00,0.20,0,0.00,0,0
,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,RUBÉN PEÑA,CA OSASUNA,7,2,0,6,10,0,0,0,0.00,0.00,0,0.00,0,0
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,13,7,1,10,8,0,0,0,0.00,0.00,0,0.00,0,0
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,12,6,2,4,6,0,0,0,0.00,0.00,0,0.00,0,0
,SANDRO RAMÍREZ,UD LAS PALMAS,10,7,2,6,5,4,3,1,0.10,0.30,0,0.00,1,0
,SANTI COMESAÑA,VILLARREAL CF,6,2,2,5,7,2,2,0,0.33,0.00,0,0.00,0,0
,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,3,2,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,SAÚL ÑÍGUEZ,SEVILLA FC,8,3,2,2,3,0,0,0,0.00,0.00,0,0.00,0,0
,SCOTT MCKENNA,UD LAS PALMAS,2,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,1
,SEBAS WADE,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,SELIM AMALLAH,REAL VALLADOLID CF,14,6,1,15,11,2,2,0,0.00,0.14,1,0.00,0,0
,SERGI ALTIMIRA,REAL BETIS,9,1,1,7,1,0,0,0,0.00,0.00,0,0.00,0,0
,SERGI CANÓS,VALENCIA CF,7,3,0,1,7,0,0,0,0.00,0.00,0,0.00,0,0
,SERGI CARDONA,VILLARREAL CF,10,3,1,5,7,1,1,0,0.10,0.00,0,0.00,0,0
,RAPHAEL DIAS BELLOLI,FC BARCELONA,40,25,6,22,20,11,10,1,0.25,0.03,1,0.00,0,0
,RAÚL ASENCIO DEL ROSARIO,REAL MADRID,0,0,1,2,0,0,0,0,0.00,0.00,0,0.00,0,0
,RAÚL ALBIOL,VILLARREAL CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,1
,RAÚL CHASCO,REAL VALLADOLID CF,0,0,0,0,2,0,0,0,0.00,0.00,0,0.00,0,0
,RAÚL GARCÍA,CA OSASUNA,5,3,0,6,1,1,0,1,0.00,0.20,0,0.00,0,0
,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,RAÚL MARTÍNEZ,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,RAÚL MORO,REAL VALLADOLID CF,11,6,1,29,32,3,2,1,0.00,0.18,0,0.09,0,0
,RAÚL DE TOMÁS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,1,1,0,2,3,0,0,0,0.00,0.00,0,0.00,0,0
,RENATO TAPIA,CD LEGANÉS,4,3,0,4,6,1,0,1,0.00,0.25,0,0.00,0,0
,RICARD ARTERO,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,RICARDO RODRÍGUEZ,REAL BETIS,0,0,0,3,0,0,0,0,0.00,0.00,0,0.00,0,0
,ROBERT LEWANDOWSKI,FC BARCELONA,40,27,2,14,6,15,14,1,0.05,0.28,2,0.05,0,0
,ROBERT NAVARRO,RCD MALLORCA,10,5,0,20,13,1,1,0,0.00,0.10,0,0.00,0,0
,ROBERTO LÓPEZ,CD LEGANÉS,4,0,1,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,ROBIN LE NORMAND,ATLÉTICO DE MADRID,3,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,RODRIGO SÁNCHEZ RODRÍGUEZ,,2,2,0,2,4,0,0,0,0.00,0.00,0,0.00,0,0
,RODRIGO ABAJAS,VALENCIA CF,1,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,RODRIGO DE PAUL,ATLÉTICO DE MADRID,2,1,3,4,4,1,1,0,0.00,0.50,0,0.00,0,0
,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,9,6,2,11,8,3,2,1,0.22,0.11,0,0.00,0,0
,PEDRO DÍAZ,RAYO VALLECANO,2,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,PEDRO ORTIZ,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PEIO CANALES,ATHLETIC CLUB,1,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PEP CHAVARRÍA,RAYO VALLECANO,3,1,1,1,4,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,7,4,2,1,1,1,1,0,0.00,0.14,1,0.00,0,0
,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,3,2,0,4,8,0,0,0,0.00,0.00,0,0.00,0,0
,PERE GARCÍA,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PERE MILLA,RCD ESPANYOL DE BARCELONA,2,1,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,3,1,0,1,6,0,0,0,0.00,0.00,0,0.00,0,0
,POL LOZANO,RCD ESPANYOL DE BARCELONA,0,0,0,0,2,0,0,0,0.00,0.00,0,0.00,0,0
,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,0,0,1,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,RAFA MIR,VALENCIA CF,3,0,1,0,4,0,0,0,0.00,0.00,0,0.00,0,0
,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,1,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,RAMON TERRATS,VILLARREAL CF,0,0,0,1,5,0,0,0,0.00,0.00,0,0.00,0,0
,RAMÓN MARTÍNEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,RANDY NTEKA,RAYO VALLECANO,6,3,0,0,3,1,1,0,0.17,0.00,0,0.00,0,0
,ORIOL ROMEU,GIRONA FC,0,0,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,ORRI ÓSKARSSON,REAL SOCIEDAD,7,3,0,0,1,2,2,0,0.14,0.14,0,0.00,0,0
,PABLO BARRIOS,ATLÉTICO DE MADRID,11,2,1,7,4,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO BUSTO,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO DURÁN,RC CELTA,1,0,1,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO FORNALS,REAL BETIS,10,3,0,5,12,1,1,0,0.00,0.10,0,0.00,0,0
,PABLO IBÁÑEZ,CA OSASUNA,7,2,1,3,2,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO MAFFEO,RCD MALLORCA,3,1,1,17,10,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO MARÍN,REAL SOCIEDAD,0,0,0,3,0,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO RIVERA,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PABLO TORRE,FC BARCELONA,3,3,1,2,3,3,1,2,0.33,0.67,0,0.00,1,0
,PAPA DAME BA,GIRONA FC,0,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,PAPE GUEYE,VILLARREAL CF,14,5,0,0,5,0,0,0,0.00,0.00,0,0.00,0,0
,PATHÉ CISS,RAYO VALLECANO,3,0,1,5,4,0,0,0,0.00,0.00,0,0.00,0,0
,PAU CABANES,VILLARREAL CF,0,0,0,0,2,0,0,0,0.00,0.00,0,0.00,0,0
,PAU CUBARSÍ,FC BARCELONA,5,0,1,4,0,0,0,0,0.00,0.00,0,0.00,0,0
,PAU LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,PAU NAVARRO,VILLARREAL CF,0,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
