,NOMBRE,EQUIPO,T,DAP,ASI,RE,RF,G,GDDA,GFDA,GCPI,GCPD,GDP,CG,GBP,GPP
,PAU VÍCTOR,FC BARCELONA,6,4,1,7,3,2,1,1,0.17,0.17,0,0.00,0,0
,PAULO GAZZANIGA,GIRONA FC,0,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,NACHO VIDAL,CA OSASUNA,0,0,0,2,0,0,0,0,0.00,0.00,0,0.00,0,0
,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,1,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,NAHUEL MOLINA,ATLÉTICO DE MADRID,3,1,1,7,6,0,0,0,0.00,0.00,0,0.00,0,0
,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,7,2,1,6,4,1,1,0,0.00,0.00,0,0.14,0,0
,NAIM GARCÍA,CD LEGANÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,NATAN BERNARDO DE SOUZA,REAL BETIS,2,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,NAYEF AGUERD,REAL SOCIEDAD,10,4,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,NEMANJA GUDELJ,SEVILLA FC,6,2,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,NICO SERRANO,ATHLETIC CLUB,1,0,0,3,4,0,0,0,0.00,0.00,0,0.00,0,0
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,18,8,3,34,48,1,1,0,0.00,0.06,0,0.00,0,0
,NICOLAS PÉPÉ,VILLARREAL CF,18,10,2,12,10,1,1,0,0.00,0.06,0,0.00,0,0
,NOAH DARVICH,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,NOBEL MENDY,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,OIER GASTESI,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,OIHAN SANCET,ATHLETIC CLUB,16,9,0,11,10,7,5,2,0.06,0.31,1,0.06,0,0
,OLIVER MCBURNIE,UD LAS PALMAS,10,4,3,7,6,0,0,0,0.00,0.00,0,0.00,0,0
,OMAR ALDERETE,GETAFE CF,14,6,0,6,5,0,0,0,0.00,0.00,0,0.00,0,0
,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,0,0,0,7,3,0,0,0,0.00,0.00,0,0.00,0,0
,OMAR MASCARELL,RCD MALLORCA,2,1,0,4,1,0,0,0,0.00,0.00,0,0.00,0,0
,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MATEO FLORES,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MATEO MEJÍA,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MATEU MOREY,RCD MALLORCA,0,0,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,MATIJA NASTASIC,CD LEGANÉS,0,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,MATÍAS ÁRBOL,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MAURO ARAMBARRI,GETAFE CF,12,5,0,6,6,4,3,1,0.00,0.25,2,0.08,1,0
,MAXIMILIANO CAUFRIEZ,VALENCIA CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MIGUEL GUTIÉRREZ,GIRONA FC,14,7,2,16,19,1,1,0,0.07,0.00,0,0.00,0,0
,MIGUEL DE LA FUENTE,CD LEGANÉS,10,6,1,7,11,1,1,0,0.00,0.10,1,0.00,0,0
,MIGUEL ÁNGEL MORRO,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MIHAILO RISTIC,RC CELTA,0,0,0,1,4,0,0,0,0.00,0.00,0,0.00,0,0
,MIKA MÁRMOL,UD LAS PALMAS,2,0,0,2,0,0,0,0,0.00,0.00,0,0.00,0,0
,MIKEL JAUREGIZAR,ATHLETIC CLUB,4,1,0,7,3,1,1,0,0.00,0.25,0,0.00,0,0
,MIKEL OYARZABAL,REAL SOCIEDAD,14,7,1,2,1,3,3,0,0.14,0.00,2,0.07,0,0
,MIKEL VESGA,ATHLETIC CLUB,0,0,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,MOI GÓMEZ,CA OSASUNA,0,0,0,8,5,0,0,0,0.00,0.00,0,0.00,0,1
,MOUSSA DIARRA,DEPORTIVO ALAVÉS,0,0,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,MUNIR EL HADDADI,CD LEGANÉS,4,2,0,1,7,1,0,1,0.25,0.00,0,0.00,0,0
,NABIL ABERDIN,GETAFE CF,1,0,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,NABIL FEKIR,,5,1,1,0,4,0,0,0,0.00,0.00,0,0.00,0,0
,MARC BARTRA,REAL BETIS,7,4,0,3,3,2,2,0,0.00,0.00,0,0.29,0,0
,MARC BERNAL,FC BARCELONA,1,1,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,MARC CARDONA,UD LAS PALMAS,1,0,0,0,2,0,0,0,0.00,0.00,0,0.00,0,0
,MARC CASADÓ,FC BARCELONA,5,0,3,2,4,0,0,0,0.00,0.00,0,0.00,0,0
,MARC DOMENECH,RCD MALLORCA,1,1,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARC ROCA,REAL BETIS,4,0,1,4,1,0,0,0,0.00,0.00,0,0.00,0,0
,MARC VIDAL,RC CELTA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARCO DE LAS SIAS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARCOS ALONSO,RC CELTA,4,2,0,3,5,0,0,0,0.00,0.00,0,0.00,0,0
,MARCOS ANDRÉ DE SOUSA MENDONÇA,REAL VALLADOLID CF,2,0,0,3,2,0,0,0,0.00,0.00,0,0.00,0,0
,MARCOS LLORENTE,ATLÉTICO DE MADRID,5,4,2,4,5,2,1,1,0.00,0.40,0,0.00,0,0
,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,MARIO MAROTO,REAL VALLADOLID CF,0,0,1,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARIO MARTÍN,REAL VALLADOLID CF,5,4,1,10,5,0,0,0,0.00,0.00,0,0.00,0,0
,MARKO DMITROVIC,CD LEGANÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARTIN VALJENT,RCD MALLORCA,2,1,0,2,0,0,0,0,0.00,0.00,0,0.00,0,0
,MARTÍN TEJÓN,VALENCIA CF,1,1,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,MARTÍN ZUBIMENDI,REAL SOCIEDAD,10,5,1,12,5,1,1,0,0.10,0.00,0,0.00,0,0
,MARVIN PARK,UD LAS PALMAS,0,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,LUCAS GARCÍA MADRIGAL,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,LUCAS OCAMPOS,,3,2,1,2,5,0,0,0,0.00,0.00,0,0.00,0,0
,LUCAS OLIVEIRA ROSA,REAL VALLADOLID CF,4,2,0,8,8,0,0,0,0.00,0.00,0,0.00,0,0
,LUCAS TORRÓ,CA OSASUNA,4,3,0,2,1,2,2,0,0.00,0.25,0,0.25,0,0
,LUCAS VÁZQUEZ,REAL MADRID,2,1,1,5,3,1,1,0,0.50,0.00,0,0.00,0,0
,LUCIEN AGOUMÉ,SEVILLA FC,1,0,0,10,2,0,0,0,0.00,0.00,0,0.00,0,0
,LUIS MILLA,GETAFE CF,12,4,1,11,7,1,1,0,0.00,0.08,1,0.00,0,0
,LUIS PÉREZ,REAL VALLADOLID CF,3,1,0,3,4,0,0,0,0.00,0.00,0,0.00,0,0
,LUIS RIOJA,VALENCIA CF,7,4,0,11,14,2,1,1,0.29,0.00,1,0.00,0,0
,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,LUKA MODRIC,REAL MADRID,4,2,2,4,1,0,0,0,0.00,0.00,0,0.00,0,0
,LUKA ROMERO,DEPORTIVO ALAVÉS,1,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,LUKA SUCIC,REAL SOCIEDAD,13,5,1,6,6,1,0,1,0.08,0.00,0,0.00,0,0
,MAMADOU SYLLA,REAL VALLADOLID CF,9,3,1,1,2,2,2,0,0.00,0.22,2,0.00,0,0
,MANU BUENO,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MANU FUSTER,UD LAS PALMAS,4,1,0,1,3,1,0,1,0.00,0.25,0,0.00,0,0
,MANU GONZÁLEZ,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MANU MORLANES,RCD MALLORCA,4,0,0,1,4,0,0,0,0.00,0.00,0,0.00,0,0
,MANU SÁNCHEZ,DEPORTIVO ALAVÉS,2,0,0,3,8,0,0,0,0.00,0.00,0,0.00,0,0
,MARASH KUMBULLA,RCD ESPANYOL DE BARCELONA,3,1,0,1,2,1,1,0,0.00,0.00,0,0.33,0,0
,KIKE BARJA,CA OSASUNA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,KIKE GARCÍA,DEPORTIVO ALAVÉS,13,8,0,7,6,3,3,0,0.08,0.08,0,0.08,0,0
,KIKE PÉREZ,REAL VALLADOLID CF,10,4,0,3,6,1,1,0,0.10,0.00,0,0.00,0,0
,KIKE SALAS,SEVILLA FC,5,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,KIKO FEMENÍA,VILLARREAL CF,1,0,1,11,2,0,0,0,0.00,0.00,0,0.00,0,0
,MIN-SU KIM,GIRONA FC,0,0,0,0,2,0,0,0,0.00,0.00,0,0.00,0,0
,KIRIAN RODRÍGUEZ,UD LAS PALMAS,12,5,3,7,5,0,0,0,0.00,0.00,0,0.00,0,0
,JORGE IGLESIAS GONZÁLEZ,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,4,3,0,6,7,1,1,0,0.00,0.25,0,0.00,0,1
,KYLIAN MBAPPÉ,REAL MADRID,45,32,1,37,43,8,6,2,0.02,0.16,3,0.00,0,0
,LADISLAV KREJCÍ,GIRONA FC,5,4,0,0,1,2,1,1,0.40,0.00,0,0.00,0,0
,LALO AGUILAR,ALBACETE BP,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,36,18,8,40,50,5,3,2,0.11,0.03,0,0.00,0,0
,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,4,2,1,0,0,1,1,0,0.25,0.00,0,0.00,0,0
,LEO ROMÁN,RCD MALLORCA,0,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,LLORENÇ SERRED,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,LOGAN EVANS COSTA,VILLARREAL CF,6,3,0,0,1,1,1,0,0.00,0.00,0,0.17,0,0
,LORENZO AGUADO HERRERA,REAL MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,LOÏC BADÉ,SEVILLA FC,5,2,1,8,2,0,0,0,0.00,0.00,0,0.00,0,0
,LUCAS ALCÁZAR,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,3,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN HERZOG,UD LAS PALMAS,2,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN IGLESIAS,GETAFE CF,6,1,0,6,9,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN MUSSO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN SORIANO,CD LEGANÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,1
,JUANLU SÁNCHEZ,SEVILLA FC,3,1,1,1,7,1,1,0,0.00,0.33,0,0.00,0,0
,JUAN MIGUEL JIMÉNEZ LÓPEZ,REAL BETIS,4,1,0,4,1,0,0,0,0.00,0.00,0,0.00,0,0
,JUANMI LATASA,REAL VALLADOLID CF,7,0,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUDE BELLINGHAM,REAL MADRID,13,7,3,14,8,4,4,0,0.08,0.15,1,0.08,0,0
,JULEN AGIRREZABALA,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JULES KOUNDÉ,FC BARCELONA,5,2,2,13,14,1,1,0,0.00,0.20,0,0.00,0,0
,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,20,11,2,7,9,5,5,0,0.10,0.15,0,0.00,0,0
,JULIÁN CHICCO,CD LEGANÉS,0,0,0,2,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUMA BAH,REAL VALLADOLID CF,3,1,0,3,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,0,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,KARL HEIN,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,KELECHI IHEANACHO,SEVILLA FC,4,2,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,1,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,JON MONCAYOLA,CA OSASUNA,7,2,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,JON OLASAGASTI,REAL SOCIEDAD,1,0,0,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,JON PACHECO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JONATHAN BAMBA,RC CELTA,9,4,0,13,17,0,0,0,0.00,0.00,0,0.00,0,0
,JONI MONTIEL,RAYO VALLECANO,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JORGE HERRANDO,CA OSASUNA,1,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JORGE SÁENZ,CD LEGANÉS,1,1,0,0,0,1,1,0,0.00,1.00,0,0.00,0,0
,JORGE DE FRUTOS,RAYO VALLECANO,15,7,1,16,16,3,3,0,0.00,0.20,0,0.00,0,0
,JOSEPH AIDOO,RC CELTA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ ARNÁIZ,CA OSASUNA,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ CAMPAÑA,UD LAS PALMAS,2,1,1,4,4,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ GAYÀ,VALENCIA CF,0,0,1,1,3,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,1,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,4,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,1
,JOSÉ ÁNGEL CARMONA,SEVILLA FC,11,3,0,6,9,0,0,0,0.00,0.00,0,0.00,0,0
,JOÃO URBÁEZ,CD LEGANÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN BERNAT,VILLARREAL CF,0,0,1,0,3,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN BERROCAL,GETAFE CF,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JUAN CRUZ,CD LEGANÉS,16,8,1,19,13,4,2,2,0.25,0.00,0,0.00,0,0
,JESÚS ARESO,CA OSASUNA,2,0,1,10,12,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS NAVAS,SEVILLA FC,3,2,0,3,1,1,1,0,0.00,0.33,0,0.00,0,0
,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS RODRIGUEZ,REAL BETIS,1,1,0,3,5,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS VALLEJO,REAL MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS VÁZQUEZ,VALENCIA CF,2,1,0,9,10,0,0,0,0.00,0.00,0,0.00,0,0
,JHON SOLÍS,GIRONA FC,0,0,0,5,2,0,0,0,0.00,0.00,0,0.00,0,0
,JIRÍ LETÁCEK,GETAFE CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,1,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JOAN JORDÁN,DEPORTIVO ALAVÉS,3,1,2,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,JOAQUÍN PANICHELLI,CD MIRANDÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JOEL ROCA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,13,6,3,15,26,2,0,2,0.00,0.15,0,0.00,0,0
,JOHAN MOJICA,RCD MALLORCA,3,1,1,15,14,1,1,0,0.33,0.00,0,0.00,0,0
,JOHN PATRICK,GETAFE CF,1,0,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,JOHNNY CARDOSO,REAL BETIS,5,0,1,5,3,0,0,0,0.00,0.00,0,0.00,0,0
,JON ARAMBURU,REAL SOCIEDAD,3,2,0,5,7,0,0,0,0.00,0.00,0,0.00,0,0
,JON GURIDI,DEPORTIVO ALAVÉS,8,4,0,2,4,2,2,0,0.13,0.13,1,0.00,0,0
,JON MAGUNAZELAIA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JON MARTÍN,REAL SOCIEDAD,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAIME MATA,UD LAS PALMAS,5,1,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,JAMES RODRÍGUEZ,RAYO VALLECANO,2,2,0,5,2,0,0,0,0.00,0.00,0,0.00,0,0
,JAN OBLAK,ATLÉTICO DE MADRID,0,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAN SALAS,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JASPER CILLESSEN,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAUME DOMÈNECH,VALENCIA CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI GALÁN,ATLÉTICO DE MADRID,1,0,2,6,13,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI GUERRA,VALENCIA CF,3,0,1,5,10,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI HERNÁNDEZ,CD LEGANÉS,5,1,1,9,4,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI LLABRÉS,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI LÓPEZ,REAL SOCIEDAD,3,0,0,5,7,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI MARTÍNEZ,CA OSASUNA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI MUÑOZ,UD LAS PALMAS,7,3,2,8,5,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI PUADO,RCD ESPANYOL DE BARCELONA,18,7,1,4,12,5,4,1,0.06,0.17,1,0.06,0,0
,JAVI RODRÍGUEZ,RC CELTA,5,1,1,1,2,1,1,0,0.00,0.20,0,0.00,0,0
,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,2,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JAVIER MANQUILLO,RC CELTA,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,JAVIER MARTÓN,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IKER ÁLVAREZ,VILLARREAL B,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MORIBA KOUROUMA KOUROUMA,RC CELTA,6,2,0,5,4,0,0,0,0.00,0.00,0,0.00,0,0
,ILIAS AKHOMACH,VILLARREAL B,14,6,0,19,17,1,1,0,0.07,0.00,0,0.00,0,0
,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,8,3,1,2,5,1,0,1,0.00,0.13,0,0.00,0,0
,ISAAC ROMERO,SEVILLA FC,20,7,2,11,16,0,0,0,0.00,0.00,0,0.00,0,0
,ISI PALAZÓN,RAYO VALLECANO,14,4,1,10,14,1,1,0,0.07,0.00,0,0.00,0,0
,ISRAEL DOMÍNGUEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IVÁN BALLIU,RAYO VALLECANO,0,0,0,2,1,0,0,0,0.00,0.00,0,0.00,0,0
,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IVÁN GIL,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IVÁN MARTÍN,GIRONA FC,1,1,0,12,7,1,1,0,0.00,1.00,0,0.00,0,0
,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,5,3,1,15,3,1,0,1,0.20,0.00,0,0.00,0,0
,IVÁN VILLAR,RC CELTA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IGNACIO PEÑA SOTORRES,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,IÑAKI WILLIAMS,ATHLETIC CLUB,16,7,4,20,26,3,3,0,0.06,0.13,0,0.00,0,0
,ÍÑIGO MARTÍNEZ,FC BARCELONA,3,1,1,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JACKSON POROZO,CD LEGANÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JACOBO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
