,NOMBRE,EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
,LOÏC BADÉ,SEVILLA FC,0,20,88,48,40,648,511,41,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,LUCAS ALCÁZAR,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,8,27,23,4,152,114,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN HERZOG,UD LAS PALMAS,0,2,22,7,15,248,213,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN IGLESIAS,GETAFE CF,0,37,140,113,27,311,165,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN MUSSO,ATLÉTICO DE MADRID,0,0,1,0,1,23,17,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN SORIANO,CD LEGANÉS,0,1,4,4,0,165,42,36,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUANLU SÁNCHEZ,SEVILLA FC,0,7,38,27,11,152,126,1,0,0.33,0.00,0.33,0.00,0.33,0.00,0.00
,JUAN MIGUEL JIMÉNEZ LÓPEZ,REAL BETIS,0,6,29,24,5,49,38,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUANMI LATASA,REAL VALLADOLID CF,0,1,113,44,69,95,52,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,7,27,11,16,215,183,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUDE BELLINGHAM,REAL MADRID,0,26,112,96,16,567,489,18,5,0.31,0.00,0.31,0.08,0.15,0.08,0.00
,JULEN AGIRREZABALA,ATHLETIC CLUB,0,0,10,5,5,323,150,57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JULES KOUNDÉ,FC BARCELONA,0,33,117,95,22,793,671,26,5,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,2,4,68,46,22,286,218,9,1,0.25,0.00,0.25,0.10,0.15,0.00,0.00
,JULIÁN CHICCO,CD LEGANÉS,0,6,21,17,4,73,55,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUMA BAH,REAL VALLADOLID CF,0,5,55,22,33,225,164,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,0,4,9,9,0,14,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,KARL HEIN,REAL VALLADOLID CF,0,0,7,2,5,512,268,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,KELECHI IHEANACHO,SEVILLA FC,0,1,23,15,8,75,55,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,0,0,2,2,0,2,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON MONCAYOLA,CA OSASUNA,27,31,83,71,12,320,225,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON OLASAGASTI,REAL SOCIEDAD,0,3,10,7,3,41,34,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON PACHECO,REAL SOCIEDAD,0,4,34,19,15,240,196,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JONATHAN BAMBA,RC CELTA,1,10,90,77,13,300,249,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JONI MONTIEL,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JORGE HERRANDO,CA OSASUNA,0,3,19,6,13,179,129,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JORGE SÁENZ,CD LEGANÉS,0,14,63,35,28,366,271,31,0,1.00,0.00,1.00,0.00,1.00,0.00,0.00
,JORGE DE FRUTOS,RAYO VALLECANO,0,19,121,112,9,249,189,3,1,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,JOSEPH AIDOO,RC CELTA,0,1,2,2,0,7,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ ARNÁIZ,CA OSASUNA,0,2,10,9,1,13,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ CAMPAÑA,UD LAS PALMAS,10,10,49,39,10,393,334,22,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ GAYÀ,VALENCIA CF,0,6,26,21,5,115,75,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,0,25,79,63,16,216,184,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,0,10,62,29,33,662,543,60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOSÉ ÁNGEL CARMONA,SEVILLA FC,0,41,136,111,25,681,538,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOÃO URBÁEZ,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN BERNAT,VILLARREAL CF,0,3,10,9,1,28,24,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN BERROCAL,GETAFE CF,0,10,50,20,30,183,124,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JUAN CRUZ,CD LEGANÉS,13,8,78,70,8,257,179,9,5,0.25,0.13,0.13,0.25,0.00,0.00,0.00
,JESÚS ARESO,CA OSASUNA,0,25,108,92,16,377,268,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS NAVAS,SEVILLA FC,1,4,24,15,9,169,136,5,0,0.33,0.00,0.33,0.00,0.33,0.00,0.00
,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS RODRIGUEZ,REAL BETIS,0,1,21,17,4,20,12,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS VALLEJO,REAL MADRID,0,0,1,0,1,14,12,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS VÁZQUEZ,VALENCIA CF,0,16,77,64,13,184,130,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JHON SOLÍS,GIRONA FC,0,4,37,32,5,193,174,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JIRÍ LETÁCEK,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,0,0,9,1,8,360,150,76,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOAN JORDÁN,DEPORTIVO ALAVÉS,15,11,39,32,7,230,148,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOAQUÍN PANICHELLI,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOEL ROCA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,0,7,112,109,3,184,130,6,1,0.15,0.15,0.00,0.00,0.15,0.00,0.00
,JOHAN MOJICA,RCD MALLORCA,0,18,94,84,10,465,335,32,0,0.33,0.00,0.33,0.33,0.00,0.00,0.00
,JOHN PATRICK,GETAFE CF,0,0,10,6,4,17,14,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JOHNNY CARDOSO,REAL BETIS,0,18,74,65,9,272,216,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON ARAMBURU,REAL SOCIEDAD,0,43,125,101,24,468,363,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON GURIDI,DEPORTIVO ALAVÉS,5,11,77,54,23,292,227,9,1,0.25,0.00,0.25,0.13,0.13,0.00,0.00
,JON MAGUNAZELAIA,REAL SOCIEDAD,0,1,6,3,3,13,7,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JON MARTÍN,REAL SOCIEDAD,0,0,16,6,10,30,18,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAIME MATA,UD LAS PALMAS,0,3,40,22,18,60,42,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAMES RODRÍGUEZ,RAYO VALLECANO,6,3,20,15,5,83,65,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAN OBLAK,ATLÉTICO DE MADRID,0,0,2,1,1,297,174,53,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAN SALAS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JASPER CILLESSEN,UD LAS PALMAS,0,1,5,3,2,450,228,62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAUME DOMÈNECH,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI GALÁN,ATLÉTICO DE MADRID,0,10,71,57,14,188,153,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI GUERRA,VALENCIA CF,4,23,89,78,11,261,189,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI HERNÁNDEZ,CD LEGANÉS,0,15,86,73,13,298,214,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI LLABRÉS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI LÓPEZ,REAL SOCIEDAD,0,14,64,53,11,305,249,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI MARTÍNEZ,CA OSASUNA,0,0,0,0,0,9,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI MUÑOZ,UD LAS PALMAS,0,22,86,72,14,454,338,26,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI PUADO,RCD ESPANYOL DE BARCELONA,1,10,72,57,15,210,166,4,3,0.28,0.06,0.22,0.06,0.17,0.06,0.00
,JAVI RODRÍGUEZ,RC CELTA,0,15,61,42,19,627,520,24,1,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,0,8,51,16,35,375,297,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVIER MANQUILLO,RC CELTA,0,7,38,24,14,327,290,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAVIER MARTÓN,ATHLETIC CLUB,0,0,4,1,3,7,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER ÁLVAREZ,VILLARREAL B,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MORIBA KOUROUMA KOUROUMA,RC CELTA,0,21,91,77,14,354,293,18,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ILIAS AKHOMACH,VILLARREAL B,3,12,105,92,13,164,124,7,1,0.07,0.00,0.07,0.07,0.00,0.00,0.00
,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,0,7,43,30,13,92,59,3,1,0.13,0.13,0.00,0.00,0.13,0.00,0.00
,ISAAC ROMERO,SEVILLA FC,0,5,143,96,47,191,137,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ISI PALAZÓN,RAYO VALLECANO,18,9,107,89,18,244,186,11,5,0.07,0.00,0.07,0.07,0.00,0.00,0.00
,ISRAEL DOMÍNGUEZ,SEVILLA FC,0,0,2,1,1,1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IVÁN BALLIU,RAYO VALLECANO,0,10,54,33,21,201,147,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IVÁN GIL,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IVÁN MARTÍN,GIRONA FC,0,13,68,64,4,614,551,17,1,1.00,0.00,1.00,0.00,1.00,0.00,0.00
,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,9,13,83,72,11,177,128,19,1,0.20,0.20,0.00,0.20,0.00,0.00,0.00
,IVÁN VILLAR,RC CELTA,0,0,2,0,2,102,75,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IGNACIO PEÑA SOTORRES,FC BARCELONA,0,0,3,2,1,410,325,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IÑAKI WILLIAMS,ATHLETIC CLUB,0,10,142,112,30,290,194,3,3,0.19,0.00,0.19,0.06,0.13,0.00,0.00
,ÍÑIGO MARTÍNEZ,FC BARCELONA,0,15,94,41,53,1362,1157,78,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JACKSON POROZO,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JACOBO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JAILSON MARQUES SIQUEIRA,RC CELTA,0,7,40,23,17,350,308,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GORKA RIVERA,GETAFE CF,0,2,6,5,1,6,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GUILLE FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GUILLEM TRILLA,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HAMARI TRAORÉ,REAL SOCIEDAD,0,11,35,24,11,154,118,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HORATIU MOLDOVAN,,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HUGO DURO,VALENCIA CF,0,7,124,64,60,161,113,4,0,0.33,0.00,0.33,0.25,0.00,0.08,0.00
,HUGO GUILLAMÓN,VALENCIA CF,0,9,31,22,9,159,120,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HUGO NOVOA,DEPORTIVO ALAVÉS,0,8,27,19,8,46,34,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HUGO SOTELO,RC CELTA,13,14,56,50,6,521,436,30,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HUGO ÁLVAREZ,RC CELTA,9,19,119,112,7,553,435,9,0,0.22,0.00,0.22,0.11,0.11,0.00,0.00
,HÉCTOR BELLERÍN,REAL BETIS,0,12,47,33,14,253,197,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HÉCTOR FORT,FC BARCELONA,0,6,25,19,6,190,169,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IAGO ASPAS,RC CELTA,2,11,92,82,10,470,324,28,10,0.19,0.04,0.15,0.19,0.00,0.00,0.00
,IGOR ZUBELDIA,REAL SOCIEDAD,0,15,124,44,80,764,630,33,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER ALMENA,,0,0,5,5,0,26,21,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER BACHILLER,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER BENITO,CA OSASUNA,0,0,5,4,1,11,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER CÓRDOBA,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER LOSADA,REAL BETIS,0,10,36,29,7,138,105,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,IKER MUÑOZ,CA OSASUNA,0,1,12,7,5,63,44,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRAN GARCÍA,REAL MADRID,0,9,45,36,9,398,342,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRAN PÉREZ,VALENCIA CF,0,1,6,4,2,13,8,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRANCO CERVI,RC CELTA,0,0,3,2,1,5,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FRENKIE DE JONG,FC BARCELONA,0,1,14,13,1,166,151,5,1,1.00,0.00,1.00,1.00,0.00,0.00,0.00
,FÁBIO DANIEL SOARES SILVA,UD LAS PALMAS,0,5,136,87,49,200,124,6,1,0.23,0.00,0.23,0.00,0.18,0.05,0.00
,GABRIEL MISEHOUY,GIRONA FC,3,0,18,17,1,62,57,0,0,0.33,0.00,0.33,0.00,0.33,0.00,0.00
,PABLO PÁEZ GAVIRA,FC BARCELONA,0,5,28,22,6,128,108,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GERARD GUMBAU,RAYO VALLECANO,15,12,62,38,24,171,114,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GERARD MARTÍN,FC BARCELONA,0,10,32,24,8,232,187,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GERARD MORENO,VILLARREAL CF,0,2,19,14,5,77,57,5,0,0.13,0.00,0.13,0.13,0.00,0.00,0.00
,GERMÁN VALERA,VALENCIA CF,0,1,9,8,1,24,20,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GERÓNIMO SPINA,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GIORGI MAMARDASHVILI,VALENCIA CF,0,0,4,1,3,360,155,68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GIOVANI LO CELSO,REAL BETIS,32,17,108,99,9,378,301,24,5,0.28,0.11,0.17,0.28,0.00,0.00,0.00
,GIULIANO SIMEONE,ATLÉTICO DE MADRID,1,8,50,45,5,188,149,1,1,0.33,0.00,0.33,0.00,0.33,0.00,0.00
,GONZALO GARCÍA,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GONZALO MONTIEL,SEVILLA FC,0,0,1,1,0,8,5,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GORKA GURUZETA,ATHLETIC CLUB,0,8,125,72,53,183,133,7,0,0.22,0.00,0.22,0.00,0.17,0.06,0.00
,ENRIC GARCÍA,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ENZO BARRENECHEA,VALENCIA CF,0,11,53,40,13,252,187,14,0,0.33,0.00,0.33,0.33,0.00,0.00,0.00
,ENZO BOYOMO,CA OSASUNA,0,28,95,63,32,572,473,22,0,0.17,0.00,0.17,0.00,0.17,0.00,0.00
,ENZO LOIODICE,UD LAS PALMAS,5,4,29,24,5,179,144,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ERAY CÖMERT,REAL VALLADOLID CF,0,13,64,39,25,423,328,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ERIC BAILLY,VILLARREAL CF,0,9,35,20,15,262,222,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ERIC GARCÍA,FC BARCELONA,0,10,48,26,22,295,257,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ETIENNE ETO'O PINEDA,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,KARL EDOUARD BLAISE ETTA EYONG,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FABIO GONZÁLEZ,UD LAS PALMAS,0,0,3,2,1,52,40,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
