,NOMBRE,EQUIPO,MJ,PJ,%,PC,%,PT,%,PS,%,TA,TR,SA,G,PR,GPP,GE
,ABDE EZZALZOULI,REAL BETIS,1058,15,100.00,2,13.33,12,80.00,10,66.67,1,0,0,1,1,0,15
,ABDE REBBACH,DEPORTIVO ALAVÉS,360,7,46.67,1,14.29,4,26.67,3,20.00,1,0,0,0,0,0,7
,ABDEL ABQAR,DEPORTIVO ALAVÉS,1131,14,93.33,10,71.43,14,93.33,4,26.67,7,0,0,0,1,0,22
,ABDOULAYE KEITA,GETAFE CF,27,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ABDUL MUMIN,RAYO VALLECANO,1085,13,92.86,12,92.31,13,92.86,1,7.14,4,1,0,1,0,0,12
,ABDÓN PRATS,RCD MALLORCA,195,12,75.00,0,0.00,1,6.25,1,6.25,3,0,0,2,0,0,3
,ABEL BRETONES,CA OSASUNA,843,14,93.33,7,50.00,9,60.00,2,13.33,2,0,0,2,0,0,17
,ABEL RUIZ,GIRONA FC,708,10,66.67,1,10.00,9,60.00,8,53.33,2,0,0,2,0,0,11
,ABOUBACAR BASSINGA,CD MIRANDÉS,3,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ADAMA BOIRO,ATHLETIC CLUB,423,6,37.50,1,16.67,5,31.25,4,25.00,0,0,0,0,0,0,5
,ADNAN JANUZAJ,UD LAS PALMAS,256,5,33.33,1,20.00,3,20.00,2,13.33,2,0,0,0,0,0,3
,ADRI EMBARBA,RAYO VALLECANO,662,13,92.86,1,7.69,8,57.14,7,50.00,2,0,0,0,0,0,7
,ADRIÀ ALTI,CD LEGANÉS,601,9,60.00,3,33.33,7,46.67,4,26.67,1,0,0,0,0,0,11
,ADRIÀ PEDROSA,SEVILLA FC,1011,13,86.67,7,53.85,12,80.00,5,33.33,4,0,0,0,0,0,12
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0,0
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,402,6,40.00,4,66.67,4,26.67,0,0.00,1,0,0,0,0,0,5
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,18,1,6.25,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,AIHEN MUÑOZ,REAL SOCIEDAD,316,7,46.67,2,28.57,3,20.00,1,6.67,1,0,0,0,0,0,1
,AIMAR OROZ,CA OSASUNA,1217,15,100.00,4,26.67,15,100.00,11,73.33,2,0,0,1,0,0,18
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,430,11,68.75,0,0.00,4,25.00,4,25.00,0,0,0,1,0,0,5
,ÁLVARO FERNÁNDEZ,SEVILLA FC,386,5,33.33,4,80.00,4,26.67,0,0.00,0,0,0,0,0,0,4
,ÁLVARO GARCÍA,RAYO VALLECANO,817,12,85.71,4,33.33,9,64.29,5,35.71,3,0,0,1,0,0,10
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,41,2,13.33,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,ÁLVARO RODRÍGUEZ,GETAFE CF,306,8,53.33,0,0.00,2,13.33,2,13.33,2,0,0,1,0,0,3
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,692,13,92.86,3,23.08,8,57.14,5,35.71,0,0,0,1,0,0,16
,ÁNGEL CORREA,ATLÉTICO DE MADRID,399,14,93.33,0,0.00,2,13.33,2,13.33,2,0,0,2,0,0,2
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÉDER GABRIEL MILITÃO,REAL MADRID,940,12,80.00,9,75.00,11,73.33,2,13.33,2,0,0,1,0,0,9
,ÍÑIGO LEKUE,ATHLETIC CLUB,371,7,43.75,3,42.86,4,25.00,1,6.25,1,0,0,0,0,0,5
,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,663,12,75.00,0,0.00,8,50.00,8,50.00,3,0,0,0,0,0,7
,ÓSCAR DE MARCOS,ATHLETIC CLUB,820,12,75.00,6,50.00,9,56.25,3,18.75,0,0,0,0,0,0,7
,ÓSCAR MINGUEZA,RC CELTA,1097,14,93.33,10,71.43,14,93.33,4,26.67,3,0,0,2,1,0,23
,ÓSCAR RODRÍGUEZ,CD LEGANÉS,434,10,66.67,1,10.00,5,33.33,4,26.67,3,0,0,1,1,0,2
,ÓSCAR TREJO,RAYO VALLECANO,165,5,35.71,0,0.00,2,14.29,2,14.29,0,0,0,0,0,0,2
,ÓSCAR VALENTÍN,RAYO VALLECANO,967,14,100.00,7,50.00,11,78.57,4,28.57,1,0,0,0,0,0,13
,ØRJAN NYLAND,SEVILLA FC,964,11,73.33,10,90.91,11,73.33,1,6.67,1,0,0,0,0,0,15
,WILLY KAMBWALA,VILLARREAL CF,90,1,7.14,1,100.00,1,7.14,0,0.00,0,0,0,0,0,0,1
,WOJCIECH SZCZESNY,FC BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,YANGEL HERRERA,GIRONA FC,802,11,73.33,5,45.45,10,66.67,5,33.33,4,0,0,2,0,0,9
,YAREK GASIOROWSKI,VALENCIA CF,459,6,46.15,4,66.67,5,38.46,1,7.69,0,0,0,0,0,0,10
,JESÚS SANTIAGO PÉREZ,GETAFE CF,223,10,66.67,0,0.00,3,20.00,3,20.00,2,0,0,0,0,0,2
,YERAY ÁLVAREZ,ATHLETIC CLUB,810,9,56.25,9,100.00,9,56.25,0,0.00,2,0,0,0,0,0,7
,YEREMY PINO,VILLARREAL CF,549,12,85.71,0,0.00,6,42.86,6,42.86,2,0,0,0,0,0,13
,YOUSSOUF SABALY,REAL BETIS,648,9,60.00,6,66.67,7,46.67,1,6.67,1,0,0,0,0,0,12
,YURI BERCHICHE,ATHLETIC CLUB,910,13,81.25,9,69.23,10,62.50,1,6.25,2,0,0,0,0,0,10
,YVAN NEYOU,CD LEGANÉS,851,11,73.33,5,45.45,10,66.67,5,33.33,6,0,0,1,0,0,11
,YÁSER ASPRILLA,GIRONA FC,398,7,46.67,1,14.29,4,26.67,3,20.00,1,0,0,1,0,0,5
,ÁLEX BAENA,VILLARREAL CF,1017,13,92.86,4,30.77,12,85.71,8,57.14,4,0,0,3,0,0,17
,ÁLEX GIL,,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁLEX MUÑOZ,UD LAS PALMAS,925,12,80.00,6,50.00,11,73.33,5,33.33,1,0,0,3,0,0,17
,ÁLEX REMIRO,REAL SOCIEDAD,1350,15,100.00,15,100.00,15,100.00,0,0.00,0,0,0,0,0,0,11
,ÁLEX SOLA,GETAFE CF,942,15,100.00,0,0.00,12,80.00,12,80.00,4,0,0,0,0,0,9
,ÁLEX SUÁREZ,UD LAS PALMAS,1076,13,86.67,9,69.23,13,86.67,4,26.67,4,0,0,0,0,1,19
,ÁLEX VALLE,,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,314,9,64.29,0,0.00,3,21.43,3,21.43,1,0,0,0,0,0,6
,UNAI MARRERO,REAL SOCIEDAD,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,UNAI NÚÑEZ,ATHLETIC CLUB,270,3,18.75,3,100.00,3,18.75,0,0.00,1,0,0,0,0,0,2
,UNAI SIMÓN,ATHLETIC CLUB,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,URKO GONZÁLEZ,REAL SOCIEDAD,45,1,6.67,0,0.00,1,6.67,1,6.67,1,0,0,0,0,0,0
,VALENTIN ROSIER,CD LEGANÉS,961,13,86.67,10,76.92,10,66.67,0,0.00,4,0,0,0,0,0,13
,VALENTÍN BARCO,SEVILLA FC,285,7,46.67,1,14.29,3,20.00,2,13.33,0,0,0,0,0,0,4
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,VALERY FERNÁNDEZ,RCD MALLORCA,214,9,56.25,0,0.00,1,6.25,1,6.25,1,0,0,2,0,0,4
,VEDAT MURIQI,RCD MALLORCA,933,12,75.00,6,50.00,10,62.50,4,25.00,1,1,0,3,0,0,11
,VICENTE GUAITA,RC CELTA,990,11,73.33,11,100.00,11,73.33,0,0.00,0,0,0,0,0,0,18
,VIKTOR TSYHANKOV,GIRONA FC,473,7,46.67,2,28.57,6,40.00,4,26.67,1,0,0,1,0,0,7
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,1074,13,86.67,5,38.46,12,80.00,7,46.67,4,0,0,8,2,0,9
,VITI ROZADA,UD LAS PALMAS,858,14,93.33,5,35.71,9,60.00,4,26.67,3,0,0,0,0,0,16
,VITOR HUGO ROQUE FERREIRA,REAL BETIS,758,12,80.00,2,16.67,9,60.00,7,46.67,0,0,0,3,0,0,13
,VÍCTOR MESEGUER,REAL VALLADOLID CF,375,12,80.00,1,8.33,2,13.33,1,6.67,0,0,0,0,0,0,8
,VÍCTOR PUIG,UD LAS PALMAS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,378,11,78.57,0,0.00,3,21.43,3,21.43,2,0,0,1,1,0,5
,WARREN MADRIGAL,VALENCIA CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,WILLIAM SILVA DE CARVALHO,REAL BETIS,250,4,26.67,1,25.00,4,26.67,3,20.00,0,0,0,0,0,0,1
,WILLIOT SWEDBERG,RC CELTA,531,13,86.67,0,0.00,5,33.33,5,33.33,1,0,0,2,0,0,12
,SÉBASTIEN HALLER,CD LEGANÉS,405,8,53.33,1,12.50,5,33.33,4,26.67,0,0,0,0,0,0,9
,TADEO ALLENDE,RC CELTA,1,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,TAKEFUSA KUBO,REAL SOCIEDAD,1023,15,100.00,5,33.33,11,73.33,6,40.00,1,0,0,3,0,0,7
,TAKUMA ASANO,RCD MALLORCA,321,6,37.50,0,0.00,4,25.00,4,25.00,0,0,0,0,0,0,3
,TANGUY NIANZOU,SEVILLA FC,519,6,40.00,5,83.33,6,40.00,1,6.67,1,1,1,0,0,1,5
,TASOS DOUVIKAS,RC CELTA,599,15,100.00,0,0.00,6,40.00,6,40.00,2,0,0,3,0,0,12
,THIBAUT COURTOIS,REAL MADRID,1080,12,80.00,12,100.00,12,80.00,0,0.00,0,0,0,0,0,1,9
,THIERNO BARRY,VILLARREAL CF,872,13,92.86,7,53.85,9,64.29,2,14.29,1,0,0,4,1,0,14
,THIERRY RENDALL CORREIA,VALENCIA CF,771,11,84.62,4,36.36,9,69.23,5,38.46,1,0,0,0,0,0,13
,THOMAS LEMAR,ATLÉTICO DE MADRID,6,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,TOMÁS CONECHNY,DEPORTIVO ALAVÉS,473,9,60.00,1,11.11,6,40.00,5,33.33,3,0,0,1,0,0,11
,TONI FERNÁNDEZ,FC BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ANTONIO LATORRE GRUESO,RCD MALLORCA,263,5,31.25,2,40.00,3,18.75,1,6.25,0,1,0,0,0,0,2
,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,490,12,80.00,1,8.33,5,33.33,4,26.67,0,0,0,3,0,0,12
,LAUREANO ANTONIO VILLA SUÁREZ,SD EIBAR,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,UMAR SADIQ,REAL SOCIEDAD,224,7,46.67,0,0.00,2,13.33,2,13.33,1,0,0,0,0,0,2
,UNAI EGILUZ,CD MIRANDÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,UNAI GARCÍA,CA OSASUNA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,UNAI GÓMEZ,ATHLETIC CLUB,418,15,93.75,0,0.00,3,18.75,3,18.75,1,0,0,0,0,0,6
,UNAI LÓPEZ,RAYO VALLECANO,669,12,85.71,2,16.67,9,64.29,7,50.00,5,1,0,2,0,0,5
,SERGI DARDER,RCD MALLORCA,1052,16,100.00,0,0.00,13,81.25,13,81.25,0,0,0,0,0,0,13
,SERGI DOMÍNGUEZ,FC BARCELONA,173,3,18.75,0,0.00,2,12.50,2,12.50,1,0,0,0,0,0,4
,SERGI GUARDIOLA,RAYO VALLECANO,75,5,35.71,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,561,10,71.43,4,40.00,5,35.71,1,7.14,0,0,0,0,0,0,12
,SERGIO CAMELLO,RAYO VALLECANO,731,14,100.00,0,0.00,9,64.29,9,64.29,1,0,0,2,0,0,11
,SERGIO CARREIRA,RC CELTA,238,4,26.67,1,25.00,3,20.00,2,13.33,0,0,0,0,0,0,3
,SERGIO GONZÁLEZ,CD LEGANÉS,1303,15,100.00,13,86.67,14,93.33,1,6.67,1,0,0,1,0,1,20
,SERGIO GÓMEZ,REAL SOCIEDAD,1111,15,100.00,9,60.00,12,80.00,3,20.00,1,0,0,0,0,0,10
,SERGIO HERRERA,CA OSASUNA,1350,15,100.00,15,100.00,15,100.00,0,0.00,3,0,0,0,0,0,23
,SERGIO MESTRE,REAL MADRID,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SEYDOUBA CISSÉ,CD LEGANÉS,914,13,86.67,2,15.38,11,73.33,9,60.00,2,0,0,0,1,0,12
,SHERALDO BECKER,REAL SOCIEDAD,629,13,86.67,2,15.38,7,46.67,5,33.33,0,0,0,1,0,0,5
,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SILVI CLUA,GIRONA FC,163,4,26.67,0,0.00,2,13.33,2,13.33,0,0,0,0,0,0,3
,STANIS IDUMBO MUZAMBO,SEVILLA FC,116,4,26.67,0,0.00,2,13.33,2,13.33,0,0,0,1,0,0,2
,STANKO JURIC,REAL VALLADOLID CF,785,13,86.67,3,23.08,7,46.67,4,26.67,4,0,0,0,0,0,20
,STIPE BIUK,,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,590,13,86.67,2,15.38,6,40.00,4,26.67,1,0,0,0,0,0,12
,STOLE DIMITRIEVSKI,VALENCIA CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,139,6,40.00,-1,-16.67,0,0.00,1,6.67,0,0,0,0,0,0,1
,RODRIGO RIQUELME,ATLÉTICO DE MADRID,402,10,66.67,1,10.00,4,26.67,3,20.00,0,0,0,0,0,0,2
,RODRYGO SILVA DE GOES,REAL MADRID,822,13,86.67,1,7.69,9,60.00,8,53.33,0,0,0,3,0,0,4
,ROMAIN PERRAUD,REAL BETIS,1015,14,93.33,10,71.43,11,73.33,1,6.67,4,0,0,0,0,0,15
,RUBÉN GARCÍA,CA OSASUNA,768,14,93.33,0,0.00,10,66.67,10,66.67,1,0,0,1,0,0,9
,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RUBÉN PEÑA,CA OSASUNA,417,13,86.67,0,0.00,4,26.67,4,26.67,1,0,0,0,0,0,7
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,1350,15,100.00,15,100.00,15,100.00,0,0.00,1,0,0,0,0,0,18
,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,655,12,80.00,1,8.33,9,60.00,8,53.33,1,0,0,0,0,0,6
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1281,15,93.75,14,93.33,15,93.75,1,6.25,4,1,1,0,0,0,17
,SANDRO RAMÍREZ,UD LAS PALMAS,720,12,80.00,2,16.67,9,60.00,7,46.67,2,0,0,4,0,0,12
,SANTI COMESAÑA,VILLARREAL CF,1014,14,100.00,6,42.86,12,85.71,6,42.86,4,0,0,2,0,0,21
,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,450,8,53.33,3,37.50,5,33.33,2,13.33,1,0,0,0,0,0,9
,SAÚL ÑÍGUEZ,SEVILLA FC,348,5,33.33,3,60.00,4,26.67,1,6.67,1,1,0,0,0,0,5
,SCOTT MCKENNA,UD LAS PALMAS,908,11,73.33,9,81.82,10,66.67,1,6.67,1,0,0,0,0,1,17
,SEBAS WADE,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,SELIM AMALLAH,REAL VALLADOLID CF,682,11,73.33,0,0.00,10,66.67,10,66.67,1,0,0,2,0,0,12
,SERGI ALTIMIRA,REAL BETIS,819,12,80.00,4,33.33,9,60.00,5,33.33,2,0,0,0,0,0,11
,SERGI CANÓS,VALENCIA CF,182,7,53.85,0,0.00,2,15.38,2,15.38,1,0,0,0,0,0,5
,SERGI CARDONA,VILLARREAL CF,1236,14,100.00,10,71.43,14,100.00,4,28.57,5,0,0,1,0,0,23
,RAPHAEL DIAS BELLOLI,FC BARCELONA,1349,16,100.00,12,75.00,15,93.75,3,18.75,1,0,0,11,2,0,14
,RAÚL ASENCIO DEL ROSARIO,REAL MADRID,330,4,26.67,3,75.00,3,20.00,0,0.00,0,0,0,0,0,0,2
,RAÚL ALBIOL,VILLARREAL CF,919,12,85.71,9,75.00,11,78.57,2,14.29,4,0,0,0,0,1,14
,RAÚL CHASCO,REAL VALLADOLID CF,129,2,13.33,1,50.00,1,6.67,0,0.00,0,0,0,0,0,0,4
,RAÚL GARCÍA,CA OSASUNA,298,14,93.33,0,0.00,2,13.33,2,13.33,0,0,0,1,0,0,7
,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RAÚL MARTÍNEZ,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RAÚL MORO,REAL VALLADOLID CF,1076,15,100.00,6,40.00,11,73.33,5,33.33,1,0,0,3,0,0,25
,RAÚL DE TOMÁS,RAYO VALLECANO,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,644,13,86.67,4,30.77,7,46.67,3,20.00,3,0,0,0,0,0,6
,RENATO TAPIA,CD LEGANÉS,805,14,93.33,6,42.86,9,60.00,3,20.00,4,0,0,1,0,0,17
,RICARD ARTERO,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RICARDO RODRÍGUEZ,REAL BETIS,336,6,40.00,1,16.67,4,26.67,3,20.00,0,0,0,0,0,0,3
,ROBERT LEWANDOWSKI,FC BARCELONA,1254,15,93.75,9,60.00,15,93.75,6,37.50,1,0,0,15,0,0,12
,ROBERT NAVARRO,RCD MALLORCA,799,13,81.25,0,0.00,10,62.50,10,62.50,1,0,0,1,0,0,9
,ROBERTO LÓPEZ,CD LEGANÉS,355,9,60.00,2,22.22,3,20.00,1,6.67,0,0,0,0,0,0,7
,ROBIN LE NORMAND,ATLÉTICO DE MADRID,630,7,46.67,7,100.00,7,46.67,0,0.00,2,0,0,0,0,0,3
,RODRIGO SÁNCHEZ RODRÍGUEZ,,117,3,20.00,0,0.00,1,6.67,1,6.67,0,0,0,0,0,0,2
,RODRIGO ABAJAS,VALENCIA CF,66,1,7.69,0,0.00,1,7.69,1,7.69,1,0,0,0,0,0,2
,RODRIGO DE PAUL,ATLÉTICO DE MADRID,650,14,93.33,1,7.14,6,40.00,5,33.33,3,0,0,1,0,0,3
,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,1178,16,100.00,4,25.00,14,87.50,10,62.50,2,0,0,3,0,0,12
,PEDRO DÍAZ,RAYO VALLECANO,90,5,35.71,0,0.00,1,7.14,1,7.14,1,0,0,0,0,0,0
,PEDRO ORTIZ,SEVILLA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PEIO CANALES,ATHLETIC CLUB,19,1,6.25,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,15,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PEP CHAVARRÍA,RAYO VALLECANO,652,10,71.43,5,50.00,7,50.00,2,14.29,1,0,0,0,0,0,11
,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,873,11,84.62,8,72.73,10,76.92,2,15.38,4,1,0,1,0,0,14
,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,640,12,80.00,1,8.33,8,53.33,7,46.67,1,0,0,0,0,0,8
,PERE GARCÍA,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PERE MILLA,RCD ESPANYOL DE BARCELONA,206,7,50.00,0,0.00,1,7.14,1,7.14,2,0,0,0,0,0,5
,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,233,9,60.00,0,0.00,1,6.67,1,6.67,0,0,0,0,0,0,0
,POL LOZANO,RCD ESPANYOL DE BARCELONA,639,10,71.43,2,20.00,8,57.14,6,42.86,4,0,0,0,0,0,12
,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,178,7,46.67,0,0.00,1,6.67,1,6.67,2,0,0,0,0,0,4
,RAFA MIR,VALENCIA CF,241,4,30.77,0,0.00,3,23.08,3,23.08,1,0,0,0,0,0,6
,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,155,3,21.43,0,0.00,2,14.29,2,14.29,1,0,0,0,0,0,8
,RAMON TERRATS,VILLARREAL CF,119,10,71.43,0,0.00,1,7.14,1,7.14,1,0,0,0,0,0,4
,RAMÓN MARTÍNEZ,SEVILLA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,RANDY NTEKA,RAYO VALLECANO,427,9,64.29,0,0.00,5,35.71,5,35.71,1,0,0,1,0,0,4
,ORIOL ROMEU,GIRONA FC,605,10,66.67,4,40.00,8,53.33,4,26.67,3,0,0,0,0,0,9
,ORRI ÓSKARSSON,REAL SOCIEDAD,319,9,60.00,0,0.00,3,20.00,3,20.00,0,0,0,2,0,0,3
,PABLO BARRIOS,ATLÉTICO DE MADRID,798,10,66.67,7,70.00,9,60.00,2,13.33,1,0,0,0,0,0,5
,PABLO BUSTO,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PABLO DURÁN,RC CELTA,185,6,40.00,0,0.00,2,13.33,2,13.33,0,0,0,0,0,0,2
,PABLO FORNALS,REAL BETIS,956,13,86.67,4,30.77,11,73.33,7,46.67,2,0,0,1,0,0,8
,PABLO IBÁÑEZ,CA OSASUNA,419,12,80.00,2,16.67,3,20.00,1,6.67,1,0,0,0,0,0,10
,PABLO MAFFEO,RCD MALLORCA,918,12,75.00,8,66.67,11,68.75,3,18.75,2,0,0,0,0,0,10
,PABLO MARÍN,REAL SOCIEDAD,77,4,26.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PABLO RIVERA,SEVILLA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PABLO TORRE,FC BARCELONA,248,7,43.75,0,0.00,4,25.00,4,25.00,0,0,0,3,0,0,4
,PAPA DAME BA,GIRONA FC,47,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PAPE GUEYE,VILLARREAL CF,734,12,85.71,5,41.67,8,57.14,3,21.43,1,1,1,0,0,0,11
,PATHÉ CISS,RAYO VALLECANO,458,11,78.57,1,9.09,4,28.57,3,21.43,3,0,0,0,0,0,8
,PAU CABANES,VILLARREAL CF,35,3,21.43,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,PAU CUBARSÍ,FC BARCELONA,1294,16,100.00,10,62.50,15,93.75,5,31.25,3,0,0,0,0,0,15
,PAU LÓPEZ,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,PAU NAVARRO,VILLARREAL CF,218,5,35.71,1,20.00,1,7.14,0,0.00,0,0,0,0,0,0,4
