,NOMBRE,EQUIPO,MJ,PJ,%,PC,%,PT,%,PS,%,TA,TR,SA,G,PR,GPP,GE
,PAU VÍCTOR,FC BARCELONA,162,11,68.75,0,0.00,1,6.25,1,6.25,2,0,0,2,0,0,4
,PAULO GAZZANIGA,GIRONA FC,1350,15,100.00,15,100.00,15,100.00,0,0.00,3,0,0,0,0,0,20
,NACHO VIDAL,CA OSASUNA,113,4,26.67,1,25.00,1,6.67,0,0.00,0,0,0,0,0,0,5
,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,29,2,14.29,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,NAHUEL MOLINA,ATLÉTICO DE MADRID,705,10,66.67,5,50.00,9,60.00,4,26.67,0,0,0,0,0,0,4
,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,1112,13,86.67,11,84.62,13,86.67,2,13.33,3,0,0,1,0,0,21
,NAIM GARCÍA,CD LEGANÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,NATAN BERNARDO DE SOUZA,REAL BETIS,816,12,80.00,9,75.00,9,60.00,0,0.00,2,1,0,0,0,0,13
,NAYEF AGUERD,REAL SOCIEDAD,921,11,73.33,8,72.73,11,73.33,3,20.00,3,0,0,0,0,0,7
,NEMANJA GUDELJ,SEVILLA FC,1080,13,86.67,11,84.62,12,80.00,1,6.67,3,0,0,0,0,0,13
,NICO SERRANO,ATHLETIC CLUB,97,2,12.50,0,0.00,1,6.25,1,6.25,0,0,0,0,0,0,2
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,1044,14,87.50,8,57.14,12,75.00,4,25.00,1,0,0,1,0,0,8
,NICOLAS PÉPÉ,VILLARREAL CF,565,11,78.57,0,0.00,6,42.86,6,42.86,1,0,0,1,1,0,10
,NOAH DARVICH,FC BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,NOBEL MENDY,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,OIER GASTESI,ATHLETIC CLUB,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,OIHAN SANCET,ATHLETIC CLUB,850,13,81.25,2,15.38,11,68.75,9,56.25,1,0,0,7,0,0,7
,OLIVER MCBURNIE,UD LAS PALMAS,715,14,93.33,2,14.29,7,46.67,5,33.33,0,0,0,0,0,0,17
,OMAR ALDERETE,GETAFE CF,1260,14,93.33,14,100.00,14,93.33,0,0.00,3,0,0,0,0,0,12
,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,1223,14,100.00,11,78.57,14,100.00,3,21.43,4,0,0,0,0,0,27
,OMAR MASCARELL,RCD MALLORCA,635,13,81.25,2,15.38,6,37.50,4,25.00,2,0,0,0,0,0,9
,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MATEO FLORES,REAL BETIS,29,2,13.33,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MATEO MEJÍA,SEVILLA FC,10,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MATEU MOREY,RCD MALLORCA,175,3,18.75,0,0.00,2,12.50,2,12.50,1,0,0,0,0,0,5
,MATIJA NASTASIC,CD LEGANÉS,855,10,66.67,9,90.00,9,60.00,0,0.00,2,0,0,0,0,0,17
,MATÍAS ÁRBOL,SEVILLA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MAURO ARAMBARRI,GETAFE CF,962,15,100.00,7,46.67,11,73.33,4,26.67,4,0,0,4,0,0,11
,MAXIMILIANO CAUFRIEZ,VALENCIA CF,90,1,7.69,1,100.00,1,7.69,0,0.00,0,0,0,0,0,0,1
,MIGUEL GUTIÉRREZ,GIRONA FC,1252,14,93.33,13,92.86,14,93.33,1,6.67,1,0,0,1,0,0,18
,MIGUEL DE LA FUENTE,CD LEGANÉS,896,14,93.33,4,28.57,9,60.00,5,33.33,3,0,0,1,0,0,12
,MIGUEL ÁNGEL MORRO,,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MIHAILO RISTIC,RC CELTA,112,2,13.33,0,0.00,2,13.33,2,13.33,0,0,0,0,0,0,1
,MIKA MÁRMOL,UD LAS PALMAS,598,9,60.00,5,55.56,7,46.67,2,13.33,2,0,0,0,0,0,13
,MIKEL JAUREGIZAR,ATHLETIC CLUB,787,13,81.25,6,46.15,9,56.25,3,18.75,3,1,0,1,0,0,8
,MIKEL OYARZABAL,REAL SOCIEDAD,872,13,86.67,3,23.08,12,80.00,9,60.00,2,1,0,3,1,0,6
,MIKEL VESGA,ATHLETIC CLUB,373,9,56.25,0,0.00,4,25.00,4,25.00,1,0,0,0,0,0,4
,MOI GÓMEZ,CA OSASUNA,371,13,86.67,2,15.38,3,20.00,1,6.67,1,0,0,0,0,1,8
,MOUSSA DIARRA,DEPORTIVO ALAVÉS,668,10,66.67,6,60.00,7,46.67,1,6.67,2,0,0,0,0,0,15
,MUNIR EL HADDADI,CD LEGANÉS,358,9,60.00,1,11.11,4,26.67,3,20.00,1,0,0,1,0,0,5
,NABIL ABERDIN,GETAFE CF,263,7,46.67,1,14.29,4,26.67,3,20.00,1,0,0,0,0,0,2
,NABIL FEKIR,,180,2,13.33,2,100.00,2,13.33,0,0.00,0,0,0,0,0,0,1
,MARC BARTRA,REAL BETIS,658,8,53.33,4,50.00,7,46.67,3,20.00,1,0,0,2,0,0,10
,MARC BERNAL,FC BARCELONA,243,3,18.75,1,33.33,3,18.75,2,12.50,2,0,0,0,0,0,3
,MARC CARDONA,UD LAS PALMAS,64,5,33.33,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,3
,MARC CASADÓ,FC BARCELONA,937,13,81.25,7,53.85,11,68.75,4,25.00,2,1,1,0,0,0,7
,MARC DOMENECH,RCD MALLORCA,115,3,18.75,0,0.00,2,12.50,2,12.50,0,0,0,0,0,0,1
,MARC ROCA,REAL BETIS,733,9,60.00,5,55.56,9,60.00,4,26.67,3,0,0,0,0,0,8
,MARC VIDAL,RC CELTA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MARC-ANDRÉ TER STEGEN,FC BARCELONA,495,6,37.50,5,83.33,6,37.50,1,6.25,0,0,0,0,0,0,5
,MARCO DE LAS SIAS,RAYO VALLECANO,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MARCOS ALONSO,RC CELTA,900,11,73.33,8,72.73,9,60.00,1,6.67,3,0,0,0,0,0,15
,MARCOS ANDRÉ DE SOUSA MENDONÇA,REAL VALLADOLID CF,296,8,53.33,0,0.00,3,20.00,3,20.00,2,0,0,0,0,0,8
,MARCOS LLORENTE,ATLÉTICO DE MADRID,764,10,66.67,7,70.00,9,60.00,2,13.33,0,1,0,2,0,0,5
,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,456,8,53.33,3,37.50,5,33.33,2,13.33,1,1,1,0,0,0,11
,MARIO MAROTO,REAL VALLADOLID CF,18,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MARIO MARTÍN,REAL VALLADOLID CF,642,12,80.00,3,25.00,7,46.67,4,26.67,3,1,0,0,0,0,20
,MARKO DMITROVIC,CD LEGANÉS,810,9,60.00,9,100.00,9,60.00,0,0.00,0,0,0,0,0,0,13
,MARTIN VALJENT,RCD MALLORCA,1061,12,75.00,11,91.67,12,75.00,1,6.25,2,0,0,0,0,0,14
,MARTÍN TEJÓN,VALENCIA CF,45,4,30.77,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,MARTÍN ZUBIMENDI,REAL SOCIEDAD,1305,15,100.00,14,93.33,14,93.33,0,0.00,2,0,0,1,1,0,11
,MARVIN PARK,UD LAS PALMAS,428,7,46.67,2,28.57,5,33.33,3,20.00,1,0,0,0,0,0,9
,LUCAS GARCÍA MADRIGAL,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,LUCAS OCAMPOS,,176,2,13.33,1,50.00,2,13.33,1,6.67,0,0,0,0,0,0,3
,LUCAS OLIVEIRA ROSA,REAL VALLADOLID CF,1260,14,93.33,14,100.00,14,93.33,0,0.00,5,0,0,0,0,0,30
,LUCAS TORRÓ,CA OSASUNA,1222,14,93.33,11,78.57,14,93.33,3,20.00,5,0,0,2,0,0,21
,LUCAS VÁZQUEZ,REAL MADRID,621,12,80.00,4,33.33,7,46.67,3,20.00,2,0,0,1,0,0,11
,LUCIEN AGOUMÉ,SEVILLA FC,694,13,86.67,3,23.08,8,53.33,5,33.33,2,1,0,0,0,0,13
,LUIS MILLA,GETAFE CF,1335,15,100.00,14,93.33,15,100.00,1,6.67,1,0,0,1,0,0,13
,LUIS PÉREZ,REAL VALLADOLID CF,1311,15,100.00,14,93.33,15,100.00,1,6.67,2,0,0,0,0,0,30
,LUIS RIOJA,VALENCIA CF,976,13,100.00,4,30.77,11,84.62,7,53.85,3,0,0,2,0,0,14
,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,LUKA MODRIC,REAL MADRID,642,15,100.00,2,13.33,5,33.33,3,20.00,3,0,0,0,0,0,7
,LUKA ROMERO,DEPORTIVO ALAVÉS,197,6,40.00,0,0.00,2,13.33,2,13.33,0,0,0,0,1,0,5
,LUKA SUCIC,REAL SOCIEDAD,799,11,73.33,5,45.45,10,66.67,5,33.33,1,0,0,1,0,0,8
,MAMADOU SYLLA,REAL VALLADOLID CF,665,12,80.00,2,16.67,8,53.33,6,40.00,1,0,0,2,1,0,12
,MANU BUENO,SEVILLA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MANU FUSTER,UD LAS PALMAS,288,10,66.67,0,0.00,3,20.00,3,20.00,0,0,0,1,0,0,6
,MANU GONZÁLEZ,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MANU MORLANES,RCD MALLORCA,961,15,93.75,4,26.67,11,68.75,7,43.75,4,0,0,0,0,0,11
,MANU SÁNCHEZ,DEPORTIVO ALAVÉS,1031,13,86.67,9,69.23,11,73.33,2,13.33,5,0,0,0,0,0,20
,MARASH KUMBULLA,RCD ESPANYOL DE BARCELONA,1014,13,92.86,9,69.23,12,85.71,3,21.43,5,0,0,1,0,0,22
,KIKE BARJA,CA OSASUNA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,KIKE GARCÍA,DEPORTIVO ALAVÉS,762,14,93.33,1,7.14,8,53.33,7,46.67,2,1,1,3,0,0,8
,KIKE PÉREZ,REAL VALLADOLID CF,839,14,93.33,1,7.14,10,66.67,9,60.00,4,0,0,1,0,0,20
,KIKE SALAS,SEVILLA FC,556,10,66.67,5,50.00,6,40.00,1,6.67,2,0,0,0,0,0,7
,KIKO FEMENÍA,VILLARREAL CF,1104,13,92.86,12,92.31,13,92.86,1,7.14,4,0,0,0,0,0,21
,MIN-SU KIM,GIRONA FC,20,3,20.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,KIRIAN RODRÍGUEZ,UD LAS PALMAS,1176,14,93.33,5,35.71,14,93.33,9,60.00,2,0,0,0,0,0,20
,JORGE IGLESIAS GONZÁLEZ,REAL VALLADOLID CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,1065,15,100.00,7,46.67,12,80.00,5,33.33,3,0,0,1,0,1,8
,KYLIAN MBAPPÉ,REAL MADRID,1205,14,93.33,7,50.00,14,93.33,7,46.67,1,0,0,8,0,0,10
,LADISLAV KREJCÍ,GIRONA FC,639,8,53.33,7,87.50,7,46.67,0,0.00,4,0,0,2,1,0,9
,LALO AGUILAR,ALBACETE BP,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,1112,14,87.50,6,42.86,12,75.00,6,37.50,1,0,0,5,2,0,11
,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,810,10,71.43,8,80.00,9,64.29,1,7.14,1,0,0,1,0,0,20
,LEO ROMÁN,RCD MALLORCA,450,5,31.25,5,100.00,5,31.25,0,0.00,0,0,0,0,0,0,7
,LLORENÇ SERRED,RCD ESPANYOL DE BARCELONA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,LOGAN EVANS COSTA,VILLARREAL CF,916,11,78.57,9,81.82,10,71.43,1,7.14,0,0,0,1,1,0,17
,LORENZO AGUADO HERRERA,REAL MADRID,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,LOÏC BADÉ,SEVILLA FC,920,11,73.33,10,90.91,10,66.67,0,0.00,3,0,0,0,0,0,12
,LUCAS ALCÁZAR,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,551,8,53.33,3,37.50,6,40.00,3,20.00,1,0,0,0,0,0,8
,JUAN HERZOG,UD LAS PALMAS,376,5,33.33,4,80.00,4,26.67,0,0.00,0,0,0,0,0,0,8
,JUAN IGLESIAS,GETAFE CF,1064,15,100.00,10,66.67,11,73.33,1,6.67,1,0,0,0,0,0,12
,JUAN MUSSO,ATLÉTICO DE MADRID,90,1,6.67,1,100.00,1,6.67,0,0.00,0,0,0,0,0,0,0
,JUAN SORIANO,CD LEGANÉS,540,6,40.00,6,100.00,6,40.00,0,0.00,1,0,0,0,0,1,7
,JUANLU SÁNCHEZ,SEVILLA FC,491,11,73.33,0,0.00,5,33.33,5,33.33,1,1,1,1,0,0,6
,JUAN MIGUEL JIMÉNEZ LÓPEZ,REAL BETIS,186,8,53.33,0,0.00,2,13.33,2,13.33,2,0,0,0,0,0,3
,JUANMI LATASA,REAL VALLADOLID CF,488,11,73.33,3,27.27,4,26.67,1,6.67,4,0,0,0,0,0,15
,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,271,4,26.67,3,75.00,3,20.00,0,0.00,1,0,0,0,0,0,5
,JUDE BELLINGHAM,REAL MADRID,918,11,73.33,6,54.55,11,73.33,5,33.33,2,0,0,4,0,0,12
,JULEN AGIRREZABALA,ATHLETIC CLUB,1117,13,81.25,12,92.31,13,81.25,1,6.25,1,1,0,0,0,0,9
,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JULES KOUNDÉ,FC BARCELONA,1255,16,100.00,12,75.00,14,87.50,2,12.50,2,0,0,1,0,0,15
,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,857,15,100.00,2,13.33,10,66.67,8,53.33,2,0,0,5,0,0,3
,JULIÁN CHICCO,CD LEGANÉS,177,7,46.67,0,0.00,1,6.67,1,6.67,0,0,0,0,0,0,6
,JUMA BAH,REAL VALLADOLID CF,544,7,46.67,5,71.43,6,40.00,1,6.67,1,0,0,0,0,0,13
,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,89,2,14.29,0,0.00,1,7.14,1,7.14,0,0,0,0,0,0,0
,KARL HEIN,REAL VALLADOLID CF,1350,15,100.00,15,100.00,15,100.00,0,0.00,0,0,0,0,0,0,32
,KELECHI IHEANACHO,SEVILLA FC,354,7,46.67,0,0.00,4,26.67,4,26.67,0,0,0,0,0,0,5
,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,7,2,13.33,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,JON MONCAYOLA,CA OSASUNA,931,14,93.33,2,14.29,11,73.33,9,60.00,4,0,0,0,0,0,13
,JON OLASAGASTI,REAL SOCIEDAD,82,5,33.33,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JON PACHECO,REAL SOCIEDAD,384,7,46.67,3,42.86,4,26.67,1,6.67,2,0,0,0,0,0,3
,JONATHAN BAMBA,RC CELTA,721,10,66.67,4,40.00,9,60.00,5,33.33,1,0,0,0,0,0,18
,JONI MONTIEL,RAYO VALLECANO,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JORGE HERRANDO,CA OSASUNA,373,6,40.00,4,66.67,4,26.67,0,0.00,2,0,0,0,0,0,6
,JORGE SÁENZ,CD LEGANÉS,530,8,53.33,4,50.00,7,46.67,3,20.00,2,0,0,1,0,0,4
,JORGE DE FRUTOS,RAYO VALLECANO,986,14,100.00,3,21.43,11,78.57,8,57.14,1,0,0,3,0,0,12
,JOSEPH AIDOO,RC CELTA,1,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOSÉ ARNÁIZ,CA OSASUNA,30,4,26.67,-1,-25.00,0,0.00,1,6.67,0,0,0,0,0,0,1
,JOSÉ CAMPAÑA,UD LAS PALMAS,542,10,66.67,0,0.00,8,53.33,8,53.33,3,0,0,0,0,0,10
,JOSÉ GAYÀ,VALENCIA CF,279,4,30.77,2,50.00,3,23.08,1,7.69,1,0,0,0,0,0,5
,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,569,10,71.43,2,20.00,7,50.00,5,35.71,0,0,0,0,0,0,12
,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,1016,13,86.67,10,76.92,10,66.67,0,0.00,1,0,0,0,0,1,3
,JOSÉ ÁNGEL CARMONA,SEVILLA FC,1326,15,100.00,11,73.33,15,100.00,4,26.67,3,0,0,0,0,0,19
,JOÃO URBÁEZ,CD LEGANÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JUAN BERNAT,VILLARREAL CF,43,7,50.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JUAN BERROCAL,GETAFE CF,554,7,46.67,3,42.86,6,40.00,3,20.00,1,1,1,0,0,0,6
,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,1,0,0,0,0,0
,JUAN CRUZ,CD LEGANÉS,927,15,100.00,2,13.33,11,73.33,9,60.00,1,0,0,4,0,0,11
,JESÚS ARESO,CA OSASUNA,1244,14,93.33,12,85.71,14,93.33,2,13.33,2,0,0,0,0,0,18
,JESÚS NAVAS,SEVILLA FC,320,13,86.67,0,0.00,2,13.33,2,13.33,0,0,0,1,0,0,6
,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JESÚS RODRIGUEZ,REAL BETIS,83,1,6.67,0,0.00,1,6.67,1,6.67,0,0,0,0,0,0,2
,JESÚS VALLEJO,REAL MADRID,10,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,2
,JESÚS VÁZQUEZ,VALENCIA CF,561,8,61.54,3,37.50,7,53.85,4,30.77,2,0,0,0,0,0,9
,JHON SOLÍS,GIRONA FC,318,7,46.67,1,14.29,2,13.33,1,6.67,0,0,0,0,0,0,8
,JIRÍ LETÁCEK,GETAFE CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,1260,14,100.00,14,100.00,14,100.00,0,0.00,2,0,0,0,0,0,27
,JOAN JORDÁN,DEPORTIVO ALAVÉS,339,8,53.33,1,12.50,2,13.33,1,6.67,1,0,0,0,0,0,8
,JOAQUÍN PANICHELLI,CD MIRANDÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOEL ROCA,CD MIRANDÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,947,14,100.00,2,14.29,12,85.71,10,71.43,4,0,0,2,0,0,23
,JOHAN MOJICA,RCD MALLORCA,1177,15,93.75,12,80.00,13,81.25,1,6.25,3,0,0,1,0,0,16
,JOHN PATRICK,GETAFE CF,30,3,20.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JOHNNY CARDOSO,REAL BETIS,562,9,60.00,5,55.56,6,40.00,1,6.67,2,0,0,0,0,0,7
,JON ARAMBURU,REAL SOCIEDAD,930,13,86.67,6,46.15,11,73.33,5,33.33,4,0,0,0,0,0,7
,JON GURIDI,DEPORTIVO ALAVÉS,842,13,86.67,2,15.38,10,66.67,8,53.33,3,0,0,2,0,0,12
,JON MAGUNAZELAIA,REAL SOCIEDAD,6,2,13.33,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JON MARTÍN,REAL SOCIEDAD,90,2,13.33,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,1
,JAIME MATA,UD LAS PALMAS,257,13,86.67,0,0.00,2,13.33,2,13.33,3,0,0,0,0,0,7
,JAMES RODRÍGUEZ,RAYO VALLECANO,135,6,42.86,0,0.00,1,7.14,1,7.14,1,0,0,0,0,0,2
,JAN OBLAK,ATLÉTICO DE MADRID,1260,14,93.33,14,100.00,14,93.33,0,0.00,0,0,0,0,0,0,8
,JAN SALAS,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JASPER CILLESSEN,UD LAS PALMAS,1140,13,86.67,12,92.31,13,86.67,1,6.67,1,0,0,0,0,0,21
,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JAUME DOMÈNECH,VALENCIA CF,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JAVI GALÁN,ATLÉTICO DE MADRID,407,7,46.67,1,14.29,5,33.33,4,26.67,3,0,0,0,0,0,2
,JAVI GUERRA,VALENCIA CF,682,12,92.31,1,8.33,8,61.54,7,53.85,1,0,0,0,0,0,13
,JAVI HERNÁNDEZ,CD LEGANÉS,895,12,80.00,8,66.67,10,66.67,2,13.33,1,0,0,0,0,0,12
,JAVI LLABRÉS,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JAVI LÓPEZ,REAL SOCIEDAD,715,11,73.33,4,36.36,8,53.33,4,26.67,1,0,0,0,0,0,8
,JAVI MARTÍNEZ,CA OSASUNA,5,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,1
,JAVI MUÑOZ,UD LAS PALMAS,912,15,100.00,7,46.67,9,60.00,2,13.33,1,0,0,0,0,0,19
,JAVI PUADO,RCD ESPANYOL DE BARCELONA,1008,12,85.71,8,66.67,12,85.71,4,28.57,2,0,0,5,0,0,20
,JAVI RODRÍGUEZ,RC CELTA,871,14,93.33,6,42.86,8,53.33,2,13.33,3,0,0,1,0,0,18
,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,705,9,60.00,5,55.56,9,60.00,4,26.67,2,0,0,0,0,0,17
,JAVIER MANQUILLO,RC CELTA,497,9,60.00,0,0.00,7,46.67,7,46.67,1,0,0,0,0,0,10
,JAVIER MARTÓN,ATHLETIC CLUB,50,3,18.75,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0,0
,IKER ÁLVAREZ,VILLARREAL B,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,MORIBA KOUROUMA KOUROUMA,RC CELTA,604,12,80.00,2,16.67,7,46.67,5,33.33,3,1,1,0,0,0,13
,ILIAS AKHOMACH,VILLARREAL B,587,11,78.57,0,0.00,7,50.00,7,50.00,1,0,0,1,0,0,7
,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,408,12,85.71,0,0.00,3,21.43,3,21.43,1,0,0,1,0,0,4
,ISAAC ROMERO,SEVILLA FC,982,13,86.67,5,38.46,12,80.00,7,46.67,4,0,0,0,0,0,14
,ISI PALAZÓN,RAYO VALLECANO,785,14,100.00,2,14.29,9,64.29,7,50.00,1,0,0,1,0,0,10
,ISRAEL DOMÍNGUEZ,SEVILLA FC,17,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,IVÁN BALLIU,RAYO VALLECANO,589,10,71.43,6,60.00,6,42.86,0,0.00,2,0,0,0,0,0,7
,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,IVÁN GIL,UD LAS PALMAS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,IVÁN MARTÍN,GIRONA FC,834,11,73.33,6,54.55,10,66.67,4,26.67,0,0,0,1,0,0,12
,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,534,14,93.33,2,14.29,3,20.00,1,6.67,3,0,0,1,0,0,16
,IVÁN VILLAR,RC CELTA,360,4,26.67,4,100.00,4,26.67,0,0.00,0,0,0,0,0,0,9
,IGNACIO PEÑA SOTORRES,FC BARCELONA,945,11,68.75,10,90.91,10,62.50,0,0.00,1,0,0,0,0,0,12
,IÑAKI WILLIAMS,ATHLETIC CLUB,1207,15,93.75,9,60.00,14,87.50,5,31.25,0,0,0,3,1,0,12
,ÍÑIGO MARTÍNEZ,FC BARCELONA,1332,15,93.75,13,86.67,15,93.75,2,12.50,3,0,0,0,0,0,13
,JACKSON POROZO,CD LEGANÉS,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,JACOBO RAMÓN,REAL MADRID,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
